German,Afrikaans
hallo,hallo
tschüss,totsiens
danke,dankie
bitte,asseblief
ja,ja
nein,nee
heute,vandag
morgen,môre
gestern,gister
woche,week
jahr,jaar
stunde,uur
sekunde,sekonde
tag,dag
monat,maand
kalender,kalender
uhr,klok
können,kan
benutzen,gebruik
machen,doen
gehen,gaan
kommen,kom
lachen,lag
machen,maak
sehen,sien
weit,ver
klein,klein
groß,groot
gut,goed
hässlich,onooglik
schwierig,moeilik
einfach,maklik
schnell,vinnig
langsam,stadig
heiß,warm
kalt,koud
nass,nat
trocken,droog
hell,lig
dunkel,donker
schwer,swaar
leicht,lig
alt,oud
neu,nuut
jung,jong
alt,oud
freund,vriend
feind,vyand
liebe,liefde
hass,haat
frieden,vrede
krieg,oorlog
glücklich,gelukkig
traurig,hartseer
ängstlich,bang
wütend,kwaad
müde,moeg
schlafen,slaap
essen,eet
trinken,drink
hungrig,honger
durstig,dors
haus,huis
schule,skool
spielen,speel
lesen,lees
schreiben,skryf
sprechen,praat
hören,luister
sehen,kyk
sehen,sien
hören,hoor
riechen,ruik
fühlen,voel
hand,hand
fuß,voet
kopf,kop
arm,arm
bein,been
auge,oog
ohr,oor
mund,mond
zahn,tand
zunge,tong
herz,hart
mutter,ma
vater,pa
schwester,suster
sohn,seun
tochter,dogter
onkel,oom
tante,tannie
cousin,neef
cousine,niggie
freundin,vriendin
freund,vriend
mann,man
frau,vrou
